"filename", "language", "Markdown", "JSON", "YAML", "HTML", "Dart", "C++", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\PC\Desktop\Flutter\recipier\README.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\PC\Desktop\Flutter\recipier\analysis_options.yaml", "YAML", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\PC\Desktop\Flutter\recipier\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 57, 0, 3, 13, 73
"c:\Users\PC\Desktop\Flutter\recipier\android\app\google-services.json", "JSON", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 39
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 6, 1, 37
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\PC\Desktop\Flutter\recipier\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"c:\Users\PC\Desktop\Flutter\recipier\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 5, 33
"c:\Users\PC\Desktop\Flutter\recipier\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\PC\Desktop\Flutter\recipier\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 1, 1, 7
"c:\Users\PC\Desktop\Flutter\recipier\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 4, 12
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\PC\Desktop\Flutter\recipier\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\PC\Desktop\Flutter\recipier\lib\data\categories.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 3, 41
"c:\Users\PC\Desktop\Flutter\recipier\lib\main.dart", "Dart", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 1, 5, 137
"c:\Users\PC\Desktop\Flutter\recipier\lib\providers\category_model.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 3, 14
"c:\Users\PC\Desktop\Flutter\recipier\lib\providers\diary_item_model.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\PC\Desktop\Flutter\recipier\lib\providers\diary_provider.dart", "Dart", 0, 0, 0, 0, 218, 0, 0, 0, 0, 0, 1, 11, 230
"c:\Users\PC\Desktop\Flutter\recipier\lib\providers\recipe_model.dart", "Dart", 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 1, 6, 66
"c:\Users\PC\Desktop\Flutter\recipier\lib\providers\recipes_provider.dart", "Dart", 0, 0, 0, 0, 167, 0, 0, 0, 0, 0, 1, 14, 182
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\account_screen.dart", "Dart", 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 1, 7, 64
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\add_recipe_screen.dart", "Dart", 0, 0, 0, 0, 283, 0, 0, 0, 0, 0, 1, 14, 298
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\auth_screen.dart", "Dart", 0, 0, 0, 0, 87, 0, 0, 0, 0, 0, 1, 12, 100
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\diary_screen.dart", "Dart", 0, 0, 0, 0, 179, 0, 0, 0, 0, 0, 1, 10, 190
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\main_screen.dart", "Dart", 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 1, 12, 183
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\nutrition_screen.dart", "Dart", 0, 0, 0, 0, 338, 0, 0, 0, 0, 0, 1, 12, 351
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\recipe_details_screen.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 1, 5, 74
"c:\Users\PC\Desktop\Flutter\recipier\lib\screens\sign_up_screen.dart", "Dart", 0, 0, 0, 0, 127, 0, 0, 0, 0, 0, 1, 6, 134
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\action_button.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 4, 28
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\auth_card.dart", "Dart", 0, 0, 0, 0, 136, 0, 0, 0, 0, 0, 1, 11, 148
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\bottom_bar.dart", "Dart", 0, 0, 0, 0, 153, 0, 0, 0, 0, 0, 1, 7, 161
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\diary_item.dart", "Dart", 0, 0, 0, 0, 132, 0, 0, 0, 0, 0, 1, 6, 139
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\expandable_fab.dart", "Dart", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 1, 14, 146
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\expanded_action_button.dart", "Dart", 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 1, 6, 47
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\front_card.dart", "Dart", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 1, 7, 32
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\image_picker.dart", "Dart", 0, 0, 0, 0, 82, 0, 0, 0, 0, 0, 1, 9, 92
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\recipe_item.dart", "Dart", 0, 0, 0, 0, 125, 0, 0, 0, 0, 0, 1, 5, 131
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\recipes_grid.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 1, 6, 49
"c:\Users\PC\Desktop\Flutter\recipier\lib\widgets\user_item.dart", "Dart", 0, 0, 0, 0, 71, 0, 0, 0, 0, 0, 1, 4, 76
"c:\Users\PC\Desktop\Flutter\recipier\pubspec.yaml", "YAML", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 56, 16, 104
"c:\Users\PC\Desktop\Flutter\recipier\web\index.html", "HTML", 0, 0, 0, 80, 0, 0, 0, 0, 0, 0, 18, 7, 105
"c:\Users\PC\Desktop\Flutter\recipier\web\manifest.json", "JSON", 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"Total", "-", 13, 219, 35, 80, 2910, 1, 12, 125, 93, 8, 170, 279, 3945
